Song,Artist,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
Take On Me,A-Ha,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,5,3,0,3,0,5,0,3,3,0,0,1
Thunderstruck,Ac/Dc,0,0,0,0,3,0,0,0,0,4,0,0,4,0,3,0,0,0,0,0,5,0,0,0,0,1,0,3,2,0,0,0
Hello,Adele,2,0,0,0,3,1,0,0,0,3,0,0,2,0,2,0,0,0,2,0,2,1,0,0,0,3,0,0,4,0,0,2
Rolling In The Deep,Adele,0,0,0,0,4,1,0,0,0,3,0,0,1,0,1,0,0,0,4,0,2,0,0,0,0,3,0,4,3,0,0,2
Scars To Your Beautiful,Alessia Cara,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0
I Found,Amber Run,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Rise Up,Andra Day,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
Sprawl Ii (Mountains Beyond Mountains),Arcade Fire,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,2,0,0,0
The Suburbs,Arcade Fire,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0
Do I Wanna Know?,Arctic Monkeys,2,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,5,0,1,3,0,0,0,1,0,0,2,0,0,0
"Thank U, Next",Ariana Grande,0,0,0,0,2,0,0,0,0,4,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0
7 Rings,Ariana Grande,5,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0
God Is A Woman,Ariana Grande,0,0,0,0,1,1,0,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,4,0,0,0
Into You,Ariana Grande,5,0,0,0,2,0,0,0,0,1,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0
The Way,Ariana Grande Ft. Mac Miller,5,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0
Side To Side,Ariana Grande Ft. Nicki Minaj,0,0,0,0,2,1,0,0,0,2,0,0,0,0,2,0,0,0,1,0,1,2,0,0,0,1,0,0,2,0,0,0
Levels,Avicii,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
Wake Me Up,Avicii,0,0,0,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2
Sail,Awolnation,4,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0
Efecto,Bad Bunny,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,3,0,0,0
Tití Me Preguntó,Bad Bunny,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,5,0,0,0,1,0,0,3,0,0,0
Ojitos Lindos,Bad Bunny Ft. Bomba Estéreo,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,4,0,0,5,0,0,0,1,0,0,3,0,0,0
Dakiti,Bad Bunny Ft. Jhay Cortez,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,5,0,0,5,0,0,0,1,0,0,3,0,0,0
Space Song,Beach House,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,3,0,0,0
Meant To Be,Bebe Rexha & Florida Georgia Line,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4,0,0,0
Supalonely,Benee Ft. Gus Dapperton,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0
Eastside,"Benny Blanco, Halsey & Khalid",0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0
16 Carriages,Beyoncé,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Formation,Beyoncé,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0
Texas Hold ’Em,Beyoncé,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Drunk In Love,Beyoncé Ft. Jay-Z,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,1,0,0,0
Bad Guy,Billie Eilish,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,3,0,0,4,0,0,0,1,0,0,1,0,0,0
Birds Of A Feather,Billie Eilish,0,4,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,4,0,0,5,0,0,0,1,0,0,1,0,0,0
Chihiro,Billie Eilish,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,5,0,0,4,0,0,0,1,0,0,1,0,0,0
